filename,modality,channel,emotion,emotion_code,intensity,statement,repetition,actor,gender,path
03-02-01-01-01-01-01.wav,audio-only,song,neutral,1,normal,Kids are talking by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-01-01-01-01-01.wav
03-02-01-01-01-02-01.wav,audio-only,song,neutral,1,normal,Kids are talking by the door,2,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-01-01-01-02-01.wav
03-02-01-01-02-01-01.wav,audio-only,song,neutral,1,normal,Dogs are sitting by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-01-01-02-01-01.wav
03-02-01-01-02-02-01.wav,audio-only,song,neutral,1,normal,Dogs are sitting by the door,2,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-01-01-02-02-01.wav
03-02-02-01-01-01-01.wav,audio-only,song,calm,2,normal,Kids are talking by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-01-01-01-01.wav
03-02-02-01-01-02-01.wav,audio-only,song,calm,2,normal,Kids are talking by the door,2,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-01-01-02-01.wav
03-02-02-01-02-01-01.wav,audio-only,song,calm,2,normal,Dogs are sitting by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-01-02-01-01.wav
03-02-02-01-02-02-01.wav,audio-only,song,calm,2,normal,Dogs are sitting by the door,2,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-01-02-02-01.wav
03-02-02-02-01-01-01.wav,audio-only,song,calm,2,strong,Kids are talking by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-02-01-01-01.wav
03-02-02-02-01-02-01.wav,audio-only,song,calm,2,strong,Kids are talking by the door,2,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-02-01-02-01.wav
03-02-02-02-02-01-01.wav,audio-only,song,calm,2,strong,Dogs are sitting by the door,1,1,male,C:\Users\rbk55\OneDrive\Documents\Project_CSE432-532\SER_Project\data\audio_song_actors\Actor_01\03-02-02-02-02-01-01.wav
